**OEnergy and Global Research Institute Compliance Requirements**

| **Policy/Regulation** | **Description** | **Compliance Requirements** | **Permits/Licenses** | **Legal Considerations** |
| **Professional Development** | Labor Laws, Training and Development Regulations | Comply with labor and training and development regulations regarding professional development. | No permits required | Comply with regulations regarding professional development. |
| **Performance Management** | Labor Laws, Performance Management Regulations | Comply with labor and performance management regulations regarding performance management. | No permits required | Comply with regulations regarding performance management. |

**Funding and Investment**

| **Strategy** | **Relevant Regulations** | **Compliance Requirements** | **Permits/Licenses** | **Legal Considerations** |
| --- | --- | --- | --- | --- |
| **Government Grants** | Government Grants Regulations, Funding and Investment Regulations | Comply with government grant and funding regulations regarding government grants. | No permits required | Comply with regulations regarding government grants. |
| **Private Investment** | Securities Regulations, Investment Regulations | Comply with securities and investment regulations regarding private investment. | No permits required | Comply with regulations regarding private investment. |
| **Corporate Partnerships** | Labor Laws, Tax Laws | Comply with labor and tax regulations regarding corporate partnerships. | No permits required, Tax Registration | Comply with regulations regarding corporate partnerships. |
| **Crowdfunding** | Securities Regulations, Crowdfunding Regulations | Comply with securities and crowdfunding regulations regarding crowdfunding. | No permits required | Comply with regulations regarding crowdfunding.
